document_control_number,total_release,medium
1314212453587,0,air
1314212588812,4583,air
1315213571817,536,air
1322220955304,80,air
1315214145435,736,air
1319218514507,10,air
1314212342137,1,air
1319217849987,0,air
1322220746325,33706,air
1316215764352,0,air
1318217007386,82,air
1321220477362,220,air
1323221988660,27,air
1321219893563,17662,air
1314212463867,10214,air
1317216057012,5,air
1320218653640,5,air
1314212944464,1257,air
1315216627947,255,air
1323222363071,0,air
1319217915317,56,air
1320219303219,6038,air
1322220672493,10,air
1316215231111,4171,air
1322221626753,2,air
1316215372121,0,air
1319218146191,0,air
1320219028267,0,air
1314212767949,0,air
1316215797008,0,air
1317216564791,2,air
1323221931672,0,air
1316215487253,36734,air
1315214319410,5,air
1317216217707,2027,air
1320218728398,480,air
1314212426338,0,air
1316215625880,0,air
1324222878946,5,air
1324222899561,30,air
1323223117108,0,air
1323222332049,0,air
1323221594017,0,air
1314212437798,10329,air
1320218865689,5697,air
1314212345779,23,air
1323222314801,43939,air
1317215991795,6,air
1316215167848,0,air
1323221603804,573,air
1321219612177,9361,air
1314211948740,200,air
1322220799908,1799,air
1320218758023,0,air
1314212647717,0,air
1322220668545,49568,air
1322220830792,0,air
1320218638599,0,air
1319217827930,0,air
1320219275892,0,air
1324222560258,5,air
1315214215598,12,air
1315213788476,1,air
1318216823690,6,air
1320219220276,21,air
1316215436268,0,air
1319217698416,480,air
1314213072655,66,air
1322221360858,223979,air
1316215039138,14,air
1324222732339,0,air
1314212943397,487,air
1322220846810,0,air
1314212893705,0,air
1324223139306,0,air
1323221649460,0,air
1316215048430,0,air
1318217457858,17,air
1324222733572,0,air
1314212434714,47,air
1316214961652,12861,air
1320219177108,0,air
1321219847934,117601,air
1315213777042,1272,air
1320218723512,4,air
1322220647907,0,air
1314212459440,1066,air
1317216306744,0,air
1317218613711,519,air
1321219661055,0,air
1316215370317,5,air
1315214388910,12,air
1314212718910,5,air
1317217732395,0,air
1324223044633,20916,air
1323221776875,0,air
1321219709375,3658,air
1322220831616,1,air
1314212826046,139,air
1315213828751,0,air
1317215855521,0,air
1314212789503,4,air
1324222579815,0,air
1314213105101,0,air
1321219882735,0,air
1315214206993,0,air
1314212403315,14,air
1318217088006,4505,air
1314213022167,12,air
1318222367880,1,air
1324222825616,2,air
1316215558848,0,air
1320219259215,19113,air
1322221384718,45664,air
1315214299695,5,air
1315213731437,3010,air
1316215766522,202,air
1315215827559,3822,air
1315213584675,750,air
1316215164993,61,air
1321220399087,0,air
1315214118933,15,air
1323222137743,85,air
1314213237593,0,air
1319217822143,9,air
1318217735517,1371,air
1322220910107,0,air
1323222021457,4,air
1324222800359,250,air
1316215045319,0,air
1318216827459,3,air
1314212358927,0,air
1315213798251,171,air
1323222218289,0,air
1322220670487,0,air
1315213714431,927,air
1319218385019,0,air
1319218636583,0,air
1322221426101,56,air
1321219827730,0,air
1324222762751,16,air
1320218717369,500,air
1321220522852,36,air
1314212822389,126991,air
1314212992287,0,air
1324222780429,913,air
1315213825146,47029,air
1317215820895,6930,air
1322220749497,0,air
1320219391012,0,air
1315219461151,3694,air
