document_control_number,source_reduction_activity_code,estimated_annual_reduction_code,activity_number
1315218552608,W81,R6,1
1320218964548,W42,R6,1
1318217049927,W42,R6,1
1316214959278,W71,R6,1
1316215352891,W52,R6,1
1314211926771,W14,R4,1
1314212874945,W32,R6,1
1314212996286,W19,R6,1
1321220420095,S23,R2,1
1317216126173,W42,R6,1
1316217695143,W52,R6,1
1317216200117,W58,R5,1
1317216068395,W58,R3,1
1321219630403,S25,R5,1
1320221515719,W19,R6,1
1324222542538,S21,R5,1
1319218212569,W19,R6,1
1319217959790,W29,R2,1
1323222068987,S25,R6,1
1315214215345,W50,R6,1
1314212641676,W14,R5,1
1315214084067,W19,R5,1
1323222063911,S25,R6,1
1317216057036,W14,R5,1
1321219611415,S21,R6,1
1315214215358,W50,R6,1
1324223163229,S03,R3,1
1320219089327,W71,R6,1
1315214406365,W39,R5,1
1321219882471,S41,R4,1
1316215435165,W43,R5,1
1315213944770,W13,R6,1
1315214111751,W52,R6,1
1320219220542,W42,R4,1
1315214463061,W42,R6,1
1324222569992,S06,R6,1
1317215804257,W52,R4,1
1317215804826,W42,R5,1
1316215579828,W52,R6,1
1321219994860,S13,R2,1
1316214978672,W74,R6,1
1323221781521,S03,R6,1
1316215635398,W36,R6,1
1314212679385,W35,R6,1
1315213713035,W41,R2,1
1316215054964,W22,R5,1
1320219319771,W58,R3,1
1321220642666,S21,R6,1
1321220142398,S33,R1,1
1316214978660,W74,R6,1
1323221547274,S06,R2,1
1322221697257,S41,R5,1
1315214277055,W71,R5,1
1322221098597,S44,R6,1
1318217254705,W13,R6,1
1314212623615,W42,R4,1
1314212444893,W29,R6,1
1314212789491,W13,R6,1
1319218198772,W35,R5,1
1317216589693,W58,R6,1
1322220694564,S35,R4,1
1316215232277,W19,R6,1
1315213619378,W42,R2,1
1324222878910,S42,R5,1
1321219773886,S21,R6,1
1315214412328,W36,R4,1
1324222684375,S44,R6,1
1324222560094,S06,R6,1
1322221441227,S35,R6,1
1314212469910,W58,R2,1
1314212321590,W42,R6,1
1314212524932,W42,R6,1
1314212585083,W74,R6,1
1316215711627,W19,R6,1
1319218199077,W35,R5,1
1315214032714,W13,R6,1
1314214388821,W21,R6,1
1314213253747,W84,R2,1
1314212861809,W71,R6,1
