doc_ctrl_num,tri_facility_id,cas_registry_number,reporting_year,max_amount_code,produce,imported,sale_distribution,byproduct,process_impurity,industry_code
1324223005467,7780WLQDPW1331I,107-21-1,2024,04,0,0,0,0,0,325
1318218613750,52361KNZMNI80AT,1330-20-7,2018,02,0,0,0,0,0,333
1321219775968,39307FRBNK239W6,N495,2021,03,0,0,0,0,0,333
1321221489370,90001LLYSC1960E,N100,2021,01,1,0,0,1,0,332
1315213975067,45371DPNCX875NO,110-82-7,2015,04,0,0,0,0,0,325
1318217044799,30103LGCHM31LGD,80-62-6,2018,05,0,0,0,0,0,325
1316215128745,29526HNYWL440AL,N096,2016,04,0,1,0,0,0,332
1316215573712,43731PCCRF11CHI,7440-02-0,2016,06,0,0,0,0,0,336
1318217398458,30117DCSTR1DECM,1330-20-7,2018,03,0,0,0,0,0,336
1316215619800,98951MTCHC18EJN,100-42-5,2016,04,0,0,0,0,0,326
1319218156293,16143YNGGLPOBOX,7439-92-1,2019,03,0,0,0,0,1,332
1323221894443,19605YSXDBMONTR,N420,2023,06,0,1,0,0,0,335
1321219625377,38372PRXSN435IN,100-42-5,2021,05,0,0,0,0,0,326
1314213077148,56621TMNDS15PAR,N100,2014,05,0,0,0,0,0,336
1318216994398,55749HBBNG1832S,N040,2018,02,1,0,0,1,0,2211
1317216547238,9705WNRTHW2929W,7439-92-1,2017,03,1,0,0,0,1,331
1318217057823,49015TKRKS100HI,7440-50-8,2018,04,0,0,0,0,0,336
1314212786343,62040TRCRP12001,7440-36-0,2014,04,0,0,0,0,0,332
1315213901453,61702BRDGSVETER,N420,2015,02,1,0,0,1,1,326
1316215238243,08857LDBRDOLDWA,N982,2016,05,1,0,0,1,0,325
1315214376105,4808WSHLHN2711G,7440-02-0,2015,04,0,0,0,0,0,336
1316215089436,29349HDSNNCAMPT,N106,2016,03,0,0,0,0,0,331
1314212501023,05452BMXXX1000R,7647-01-0,2014,03,1,0,0,0,0,334
1314212321804,7738WTFCRT1681J,7439-92-1,2014,01,0,0,0,0,1,327
1320218952897,49289KZCHM9901S,N230,2020,03,0,0,0,0,0,325
1323222379289,57262WDLND2415E,1330-20-7,2023,04,0,0,0,0,0,337
1323222215737,98421CSCDP1640E,N150,2023,17,0,0,0,0,1,321
1324222899559,46562SPXCR5ARNO,7440-50-8,2024,04,1,0,0,1,0,331
1314212772800,2740WDBLDN115PL,N120,2014,07,0,0,0,0,0,334
1324223120674,48084SLZRP1972M,N096,2024,04,1,1,1,0,0,331
1322221135041,53233GBHRD2615W,7783-06-4,2022,02,1,0,0,1,0,316
1314213103385,40219CLDWL4000T,7439-96-5,2014,04,0,0,0,0,0,332
1314212748267,36105HYNDM7HYUN,67-56-1,2014,04,0,0,0,0,0,336
1315214355873,38012HYWDC751DU,N230,2015,03,0,0,0,0,0,325
1323221621485,5544WPNMDY14425,7440-50-8,2023,04,0,0,0,0,0,332
1321219898374,45242CNCNN5901C,7440-48-4,2021,02,0,0,0,0,0,332
1316215181049,16161WHTLNCOUNC,7440-66-6,2016,05,1,0,0,1,0,331
1319217965666,7704WPGNTR1611V,7440-02-0,2019,04,0,1,1,0,0,332
1321219707003,7270WDLTGR3115W,7439-92-1,2021,02,0,0,0,0,0,334
1315213658913,90280TCHNC11220,7440-47-3,2015,04,0,0,0,0,0,331
1314212852899,03820RSLNC1WASH,N458,2014,01,0,0,0,0,0,325
1315214331415,00965SSCTBSTATE,1634-04-4,2015,07,0,0,0,0,0,4247
1315214372359,96793BRWRN275EW,40487-42-1,2015,04,0,0,0,0,0,4246
